country,prefix
UK,44801
UK,44802
UK,44803
UK,44804
UK,44805
UK,44806
UK,44807
UK,44809
UK,4481
UK,4482
UK,4483
UK,44840
UK,44841
UK,44842
UK,44846
UK,44847
UK,44848
UK,44849
UK,4485
UK,4486
UK,44870
UK,44871
UK,44872
UK,44873
UK,44874
UK,44875
UK,44876
UK,44877
UK,44878
UK,44879
UK,4488
UK,4489
UK,4490
UK,4491
UK,4492
UK,4493
UK,4494
UK,4495
UK,4496
UK,4497
UK,4498
UK,4499
Germany,490
Germany,4910
Germany,49110
Germany,49111
Germany,49112
Germany,49113
Germany,49114
Germany,49115
Germany,49116
Germany,49117
Germany,4911800
Germany,49119
Germany,4912
Germany,49137
Germany,4914
Germany,49161
Germany,49164
Germany,49165
Germany,49166
Germany,49167
Germany,49168
Germany,49169
Germany,49180
Germany,49181
Germany,4919
Germany,4931
Germany,49500
Germany,49501
Germany,49701
Germany,49709
Germany,49801
Germany,499000
Germany,499001
Germany,499002
Germany,499003
Germany,499004
Germany,499005
Germany,499006
Germany,499007
Germany,499008
Germany,499009
Germany,49901
Germany,49902
Germany,49903
Germany,49904
Germany,49905
Australia,610
Australia,6110
Australia,6111
Australia,6112
Australia,6113
Australia,61140
Australia,61141
Australia,61142
Australia,61143
Australia,61144
Australia,61145
Australia,61146
Australia,61147
Australia,61148
Australia,61149
Australia,6115
Australia,6116
Australia,6117
Australia,611800
Australia,611801
Australia,611802
Australia,611803
Australia,611804
Australia,611805
Australia,611806
Australia,611807
Australia,611808
Australia,611809
Australia,61181
Australia,61182
Australia,611830
Australia,611831
Australia,611832
Australia,611833
Australia,611834
Australia,611835
Australia,611836
Australia,611837
Australia,611838
Australia,611839
Australia,61184
Australia,61185
Australia,61186
Australia,61187
Australia,61188
Australia,61189
Australia,611900
Australia,611901
Australia,611902
Australia,611903
Australia,611904
Australia,611905
Australia,611906
Australia,611907
Australia,611908
Australia,611909
Australia,61191
Australia,61192
Australia,61193
Australia,61194
Australia,61195
Australia,61196
Australia,61197
Australia,61198
Australia,61199
Australia,612001
Australia,612002
Australia,612003
Australia,612004
Australia,612005
Australia,612006
Australia,612007
Australia,612008
Australia,612009
Australia,612010
Australia,6121
Australia,6122
Australia,61230
Australia,61231
Australia,61232
Australia,61234
Australia,61235
Australia,61236
Australia,6125550
Australia,61270
Australia,61271
Australia,6130
Australia,6131
Australia,6132
Australia,61330
Australia,61331
Australia,61335
Australia,61336
Australia,61337
Australia,61338
Australia,61339
Australia,6135550
Australia,61360
Australia,61366
Australia,61368
Australia,61369
Australia,6151
Australia,6152
Australia,6153
Australia,6154
Australia,61550
Australia,61551
Australia,61552
Australia,61553
Australia,61554
Australia,61555
Australia,61556
Australia,61557
Australia,61558
Australia,61559
Australia,6156
Australia,6157
Australia,6158
Australia,6159
Australia,616
Australia,6170
Australia,6171
Australia,61750
Australia,61751
Australia,6175550
Australia,61758
Australia,61759
Australia,6176
Australia,61771
Australia,61772
Australia,61773
Australia,61774
Australia,61778
Australia,6178
Australia,6179
Australia,6180
Australia,6181
Australia,61820
Australia,61822
Australia,61823
Australia,61824
Australia,61827
Australia,61828
Australia,61829
Australia,6183
Australia,6184
Australia,61850
Australia,61856
Australia,61857
Australia,61859
Australia,619
